"","Proteobacteria","Actinobacteria","Firmicutes","Cyanobacteria/Chloroplast","Campilobacterota","Armatimonadetes","Planctomycetes","Plantae","Deinococcus-Thermus","SR1","Rhodothermaeota","Fusobacteria","Bacteroidetes","Acidobacteria","Candidatus_Saccharibacteria","Chlamydiae","Chloroflexi","Verrucomicrobia","Parcubacteria","candidate_division_WPS-1","Gemmatimonadetes","Abditibacteriota","Tenericutes","BRC1","Hydrogenedentes","Synergistetes","Spirochaetes","Kiritimatiellaeota"
"biofilm-13",86.258562529749,0.334740588977877,0.0605326876513317,0.00206949359491732,0,0,2.57082841828605,0,0,0,0,0,10.2289894662776,0.20850147968792,0,0.0139690817656919,0,0.301111318060471,0,0.00413898718983465,0.0165559487593386,0,0,0,0,0,0,0
"biofilm-14",83.7347182100212,1.66386883612227,0.0213544663459542,0,0.0471577798473156,0,3.10262600618093,0,0,0,0,0,9.98232324730252,0.629660167395289,0,0,0,0.818291286784551,0,0,0,0,0,0,0,0,0,0
"biofilm-15",95.5193895031927,0.373773555520947,2.97461454602087,0,0.07631210091886,0,0.0669677620308363,0,0,0,0,0.028033016664071,0.836318330478119,0.00311477962934122,0.00778694907335306,0.0327051861080829,0.0186886777760473,0.0622955925868245,0,0,0,0,0,0,0,0,0,0
"biofilm-2",62.9892297238464,8.37737875810212,7.87406060162185,0,0.0292958021556828,0.0016275445642046,2.5845407679569,0,0.0016275445642046,0.00691706439786954,0,0.0984664461343782,14.286586184588,0.579405864856837,0.300281972095748,0.756808222355138,1.00460188225529,0.691299553645903,0.203036184384524,0.0134272426546879,0.0614398072987236,0.0614398072987236,0.0394679556819615,0.024413168463069,0.0146479010778414,0,0,0
"biofilm-3",93.3587654771313,1.5092102863396,2.25494964232881,0.0040529312825501,0.0207712728230693,0.00253308205159382,0.393640950817679,0,0,0,0,1.49755810890226,0.552718503657771,0.0531947230834701,0.00607939692382516,0.0916975702676961,0.218858289257706,0.0238109712849819,0.00607939692382516,0,0.00101323282063753,0.00506616410318763,0,0,0,0,0,0
"biofilm-4",87.7322210955287,5.91099546559014,3.23148449308359,0.00908795224520252,0.00430481948456961,0.00286987965637974,0.675856659077429,0.000956626552126581,0,0,0,0.106663860562114,1.67218321311726,0.0913578357280885,0.0138710850058354,0.10905542694243,0.349168691526202,0.0310903629441139,0.0310903629441139,0,0,0.00430481948456961,0.0052614460366962,0.00382650620850632,0,0.0143493982818987,0,0
"biofilm-5",93.8208903091207,0.286983323814424,0.361561227042514,0.0193524938756437,0,0,0.0311527950193289,0,0,0,0,0.120363071665589,4.86219608324404,0.0424810841172667,0.0835461320972911,0.00188804818298963,0.0132163372809274,0.296423564729372,0.0505052888949726,0,0.0066081686404637,0.00283207227448444,0,0,0,0,0,0
"biofilm-7",99.7244456672198,0.0558846540739913,0.178401011082357,0.00773787517947572,0.000859763908830635,0,0.000859763908830635,0,0,0,0,0,0.0318112646267335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"biofilm-8",63.2253496786134,0.673434459998105,35.1300876914243,0,0.889178777894848,0,0.00111495771522865,0,0,0,0,0.0150519291555868,0.0512880549005179,0,0.00334487314568595,0,0.00167243657284298,0,0,0,0,0,0,0,0,0.00947714057944352,0,0
"biofilm-9",75.1270984835128,4.3279901654152,6.75427304497777,0,0.000483034616675804,0,0.494868964784361,0,0,0,0,0,12.8610381863016,0.00941917502517818,0.000483034616675804,0,0.0130419346502467,0.328946573956223,0,0.066658777101261,0.00483034616675804,0.0108682788752056,0,0,0,0,0,0
